NatWalkInd,Shape_Area
6.5,13072548.22
17.33333333,284310.4112
4.5,12982448.71
5.166666667,1065281.214
8.833333333,1288152.296
3.0,13376623.61
17.16666667,297713.654
15.83333333,73214.53581
17.5,343255.661
14.83333333,194831.6356
16.33333333,90159.23245
17.16666667,229313.324
15.83333333,139104.8556
16.33333333,288644.3927
15.33333333,912500.0107
14.0,494399.016
14.0,187803.7459
16.33333333,154577.443
4.166666667,2237508.163
5.333333333,2516450.808
4.666666667,9062596.179
12.0,5246655.372
12.83333333,966923.4726
12.5,933170.6533
4.666666667,2667142.368
9.833333333,2001505.123
7.666666667,1264251.559
11.33333333,2436008.321
13.16666667,3087425.093
9.333333333,890542.7412
13.5,302407.2728
12.33333333,442318.1995
16.66666667,277314.1397
9.5,448326.3443
13.5,1136590.483
15.16666667,464538.5644
10.66666667,1448013.284
17.16666667,70844.51325
13.66666667,66633.7693
15.33333333,94929.34225
14.16666667,124575.3117
18.5,104106.7824
16.83333333,105273.5051
13.83333333,148733.9901
13.5,164417.4638
15.0,177351.8977
16.33333333,62396.30434
12.66666667,99545.70726
16.0,118080.5466
18.5,95529.99548
14.33333333,54172.80846
16.16666667,92411.85937
14.33333333,110965.8539
11.66666667,136198.5893
13.0,139510.6058
15.33333333,157795.5362
18.5,130134.9503
14.83333333,420785.4875
16.5,240958.216
16.5,218565.7525
14.33333333,59365.89902
13.33333333,98783.87672
12.0,277191.7144
10.66666667,202926.9701
16.0,308729.7532
14.83333333,188379.0739
13.66666667,238151.5364
16.83333333,67710.26738
16.33333333,155237.3991
18.66666667,319744.3591
15.0,2130546.417
15.33333333,120375.5863
14.66666667,89287.63245
17.33333333,188196.7102
14.16666667,141177.3398
14.33333333,171799.5579
13.66666667,69070.58503
12.33333333,180675.2797
16.0,112771.309
17.33333333,227454.0098
13.33333333,75916.1731
15.66666667,180145.8289
14.16666667,212642.4124
17.16666667,174659.5841
17.5,195404.186
12.83333333,471260.9033
12.66666667,301711.5254
15.0,192378.6889
12.5,157065.9227
13.66666667,292552.3337
15.0,223543.69
11.5,136452.5506
11.16666667,345992.484
12.33333333,773616.6525
14.33333333,611921.9567
14.16666667,97530.91756
12.5,941077.0416
17.66666667,370444.3148
10.5,3844010.881
11.83333333,1053289.182
9.333333333,4871296.06
14.33333333,727133.5881
1.0,134108241.2
11.83333333,80332.73948
15.16666667,63865.8014
14.66666667,109508.6461
15.16666667,240993.3288
15.33333333,175300.69
18.83333333,195263.4514
12.0,685884.6365
12.5,1685306.223
16.0,71201.52794
18.16666667,45229.61345
16.16666667,57109.09318
14.16666667,121559.3521
13.16666667,1453187.955
9.0,595372.6939
5.333333333,769009.4687
8.166666667,3931762.087
14.16666667,931987.7571
14.33333333,401125.9694
16.0,191318.908
13.5,166365.0963
15.83333333,210561.6501
16.66666667,232845.3837
16.83333333,142877.6662
5.166666667,58527264.18
11.16666667,368308.9932
11.33333333,245665.0665
12.83333333,205594.4182
12.0,7235565.19
4.5,1923100.303
13.66666667,1102693.753
13.66666667,168921.1526
10.5,2079060.895
4.833333333,6476784.531
8.333333333,7121325.513
6.833333333,4212007.108
6.333333333,12527926.02
16.16666667,215446.1712
12.0,1374303.662
13.33333333,232401.6718
9.0,946689.9101
13.66666667,559655.9245
8.166666667,11721402.27
6.5,5011957.043
8.166666667,17481139.48
