NatWalkInd,Shape_Length,Shape_Area
14.16666667,715.0523248,31075.8103
17.16666667,1056.968451,43292.52066
13.33333333,1358.971703,111868.7161
17.5,1061.499203,65245.65558
11.83333333,2374.230421,162905.5396
16.0,1587.774937,139116.5448
16.66666667,1973.605621,148550.3199
15.5,1597.453316,90524.16417
3.833333333,18295.57841,5275601.059
4.666666667,22366.93989,23509820.21
8.0,8659.412308,2945671.738
7.333333333,9540.638226,3430892.71
13.0,6724.913677,1830678.923
7.5,6713.119331,1571053.622
8.166666667,3637.663275,581934.1938
12.5,8736.716281,1739757.411
3.666666667,8594.062903,3643441.471
8.166666667,9852.504569,5261702.536
9.166666667,6849.711016,1498875.67
7.333333333,6709.277182,2479415.068
6.0,10251.54204,2460478.218
14.66666667,1911.693542,117632.6384
17.0,1905.5803,160555.3968
14.83333333,1461.352939,127310.5198
10.5,5671.925148,1283756.809
15.66666667,1523.573784,135707.4998
17.66666667,1631.122032,124890.2755
14.33333333,1723.309126,182829.6718
16.0,2116.764175,190327.7443
5.333333333,21284.95757,11834525.48
13.66666667,1633.016984,154422.3199
4.833333333,7906.395031,2547000.633
16.83333333,1546.496083,120566.6137
13.83333333,2193.792971,295127.0394
13.33333333,1054.304749,66663.12829
3.5,21863.56195,17289133.5
16.33333333,1353.155463,112625.2143
4.0,8887.515408,3155585.529
10.16666667,7461.23553,2724392.518
5.5,9164.048368,2934954.594
14.66666667,6427.27344,755985.9533
5.833333333,11264.49273,5921607.096
6.166666667,10191.17729,2430130.941
12.16666667,5019.946519,885824.4065
15.5,8839.024542,2791208.98
15.16666667,4199.289749,803069.7292
18.5,2831.225395,314641.5938
13.83333333,5307.914869,656907.8417
14.33333333,1700.207721,115370.0838
14.0,1660.717736,168929.4464
16.5,2061.619633,228331.2764
18.0,1851.35497,150335.5318
18.5,1312.553899,75533.53886
12.5,1099.221891,67542.30705
15.33333333,1467.886094,126642.4063
14.83333333,1780.335575,178267.6818
16.66666667,1274.922347,99065.54985
5.833333333,6955.018009,1368899.937
13.33333333,4989.775129,1159269.925
9.333333333,7057.556443,2209186.515
12.33333333,2492.013318,306863.2528
17.66666667,2116.302808,185882.6756
14.66666667,2225.058496,295009.8652
12.16666667,3815.194687,502773.6105
14.0,2651.671035,249512.744
9.833333333,6992.464352,1516541.213
6.0,12558.07556,5570238.321
12.66666667,15899.08127,4920360.987
4.166666667,13907.01131,6053635.034
13.16666667,18636.97947,9915913.207
6.666666667,15078.37053,4442579.515
12.33333333,4332.54637,725604.2228
16.83333333,3140.74282,312442.3592
15.5,3081.064252,415631.733
12.66666667,2525.31883,351654.5383
6.333333333,15840.22996,8114200.815
11.0,7049.566591,1751130.452
5.666666667,6485.598249,895174.5855
8.833333333,5948.079299,1928906.396
4.833333333,5513.857296,1876345.834
6.166666667,16396.8785,8653013.916
8.5,4072.273266,638727.8404
11.83333333,2767.548925,381433.9698
13.33333333,5771.728641,1610026.988
15.66666667,4907.553232,890047.9447
6.333333333,5124.424088,1181795.988
